tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
2041,68.0,1427,391,28,409,1018,0,0,38,332.33,0.991,1.217,0.112,0.056,0.234,-0.902,1.576,0.4134,3.0451,0.747,0.020,0.050,0.087,0.100,91,57,20,0,3,0,51445.41,3855.254,15670.751,21.612,1775.283,12.291,9512.318,4402.787,54.877,6779.170,5423.336,628.443,752.143,264.227,0.000146,-0.010206,291,0,14,6,20,14,7956,68,6,21.442
2071,69.0,1515,407,28,420,1095,0,0,41,329.23,0.996,1.230,0.110,0.057,0.229,-0.904,1.572,0.4024,3.0507,0.759,0.024,0.048,0.085,0.102,92,80,25,0,6,0,55416.62,4126.479,18402.896,27.182,1491.757,10.666,10158.058,4743.061,52.390,8358.855,6687.084,862.057,840.156,257.846,0.000144,-0.010684,274,0,11,14,25,11,8576,80,14,26.970
2101,70.0,1647,410,28,434,1213,0,0,35,309.77,1.002,1.245,0.109,0.057,0.220,-0.906,1.572,0.4079,3.0833,0.731,0.018,0.047,0.085,0.104,88,77,28,0,3,0,60949.71,4368.147,20775.795,32.068,1879.296,7.507,10896.565,5193.245,49.128,10067.575,8054.060,864.687,353.281,272.501,0.000142,-0.010731,301,0,16,12,28,16,9555,65,12,31.931
2131,71.0,1812,364,28,455,1357,0,0,40,303.01,1.007,1.260,0.109,0.056,0.211,-0.907,1.577,0.4074,3.0769,0.738,0.018,0.046,0.086,0.106,87,50,33,0,2,0,66804.84,4679.993,23365.099,24.601,1931.203,12.711,12059.399,5820.819,44.981,10446.989,8357.592,1115.649,773.907,310.419,0.000117,-0.010587,280,0,24,9,33,24,9970,30,9,24.398
2161,72.0,1964,357,28,477,1486,0,1,45,278.93,1.015,1.275,0.106,0.057,0.206,-0.907,1.573,0.4107,3.1007,0.721,0.017,0.050,0.087,0.109,98,70,39,0,0,0,72393.21,5187.051,24818.622,26.732,2453.576,12.183,13249.795,6453.441,53.067,11019.731,8815.785,1345.873,776.349,361.554,0.000167,-0.011701,346,0,30,9,39,30,10186,44,9,26.268
2191,73.0,2071,380,28,492,1578,0,1,47,273.40,1.018,1.286,0.108,0.057,0.203,-0.910,1.582,0.4122,3.1209,0.699,0.020,0.046,0.086,0.110,84,85,62,0,3,0,77524.61,5550.917,26381.541,33.421,2932.479,13.343,14113.844,6941.026,52.729,10793.128,8634.502,2226.405,846.321,495.533,0.000195,-0.013404,405,0,48,14,62,48,11176,33,14,33.089
2221,74.0,2245,345,28,520,1724,0,1,43,247.64,1.025,1.299,0.109,0.056,0.200,-0.912,1.586,0.4044,3.1228,0.696,0.023,0.051,0.085,0.110,104,82,67,0,2,0,84390.98,6036.318,30269.192,38.443,2809.160,13.477,15298.164,7683.741,53.529,13632.330,10905.864,2189.404,941.973,584.305,0.000279,-0.016664,435,0,51,16,67,51,12528,51,16,38.051
2251,75.0,2463,372,28,551,1911,0,1,48,251.90,1.029,1.314,0.109,0.057,0.195,-0.913,1.582,0.4103,3.1543,0.660,0.020,0.045,0.085,0.111,106,86,41,0,4,0,90635.14,6493.054,30294.500,23.942,2829.073,16.397,16721.520,8364.473,53.521,14595.140,11676.112,1175.614,918.290,414.886,0.000192,-0.018241,436,0,31,10,40,31,13761,67,9,23.441
2281,76.0,2704,316,28,583,2120,0,1,49,238.82,1.034,1.329,0.107,0.060,0.189,-0.914,1.578,0.4176,3.1630,0.662,0.017,0.044,0.084,0.111,88,98,39,0,4,0,98653.04,7009.823,35142.683,25.720,4257.964,11.985,18469.986,9373.904,59.624,16102.717,12882.174,1443.766,1002.539,589.961,0.000128,-0.019133,652,0,31,8,37,30,13490,74,7,20.775
2311,77.0,2861,294,28,589,2271,0,1,48,269.58,1.043,1.342,0.109,0.063,0.183,-0.914,1.585,0.4166,3.2046,0.701,0.012,0.041,0.084,0.112,106,116,94,0,5,0,105669.10,7752.811,37567.990,52.422,4494.143,11.970,20090.674,10358.681,63.458,15811.346,12649.077,2860.439,1077.754,743.891,0.000252,-0.017200,742,0,66,28,94,66,14445,113,28,51.946
