tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
11041,368.0,748,195,18,29,719,0,0,2,157.32,1.837,1.683,1.007,0.484,0.087,-0.946,1.225,0.5013,2.0961,0.762,0.034,0.003,0.214,0.200,29,57,32,0,1,0,36728.23,300.865,24669.791,901.009,0.000,4.829,14450.125,3511.386,1.137,9377.168,7501.735,853.678,195.378,819.386,0.000126,0.049616,0,0,32,0,11,11,1467,0,0,0.000
11071,369.0,833,176,18,39,794,0,0,3,159.65,1.834,1.681,1.007,0.495,0.093,-0.946,1.194,0.5076,2.1910,0.705,0.026,0.004,0.213,0.196,20,55,43,0,0,0,40452.05,334.920,27083.692,1302.072,54.219,4.412,16079.113,3937.590,1.962,10394.316,8315.453,1252.353,412.666,1234.316,0.000156,0.051011,5,0,43,0,14,14,1573,0,0,0.000
11101,370.0,910,156,18,38,872,0,0,5,150.12,1.836,1.685,1.000,0.487,0.088,-0.947,1.218,0.4977,2.1853,0.739,0.026,0.002,0.214,0.199,19,72,47,0,0,0,43591.77,366.264,28753.323,1134.019,48.975,3.826,17827.267,4492.931,4.141,11141.580,8913.264,1071.669,450.309,1039.252,0.000128,0.051370,6,0,43,4,13,13,1797,0,0,0.000
11131,371.0,992,169,18,39,953,0,0,6,138.65,1.834,1.693,0.987,0.482,0.086,-0.948,1.185,0.4861,2.2057,0.813,0.026,0.003,0.215,0.202,23,60,62,0,0,0,47868.18,431.442,32082.374,1555.991,76.338,3.118,19131.098,4815.976,7.924,11540.916,9232.733,1586.633,363.451,1580.136,0.000174,0.052063,8,0,54,8,17,17,1950,0,0,0.000
11161,372.0,1088,142,18,34,1054,0,0,4,146.76,1.833,1.700,0.960,0.488,0.079,-0.948,1.168,0.5089,2.2341,0.835,0.000,0.003,0.217,0.204,20,73,63,0,1,0,52428.04,434.835,35116.410,963.225,23.251,3.277,20920.958,5384.354,8.114,13163.191,10530.553,890.031,111.415,2007.098,0.000147,0.051666,3,0,57,6,29,29,2092,0,0,0.000
11191,373.0,1163,140,18,44,1118,1,0,5,132.24,1.833,1.698,0.962,0.486,0.085,-0.947,1.213,0.4940,2.2524,0.761,0.023,0.004,0.216,0.200,22,78,68,0,0,0,55797.17,482.309,36355.484,1479.217,56.596,3.089,22658.972,5994.405,6.762,12480.726,9984.581,1478.987,232.241,2080.373,0.000112,0.052236,5,0,63,5,27,27,2252,0,0,0.000
11221,374.0,1211,130,18,52,1157,2,0,6,117.95,1.830,1.698,0.972,0.493,0.089,-0.947,1.292,0.4494,2.2676,0.741,0.038,0.001,0.215,0.196,27,99,96,0,0,0,58741.19,627.713,38368.246,2077.903,74.143,2.829,23864.508,6333.395,7.972,13722.084,10977.667,2020.897,394.505,2764.144,0.000174,0.052292,8,0,89,7,39,37,2331,0,2,82.047
11251,375.0,1327,128,16,49,1276,2,0,5,127.73,1.835,1.702,0.961,0.483,0.084,-0.949,1.268,0.4471,2.2547,0.819,0.041,0.002,0.215,0.201,17,91,93,0,1,0,64627.43,699.129,44279.184,1764.818,21.372,2.139,25630.975,6816.866,9.483,17131.034,13704.827,1932.488,244.091,2796.787,0.000177,0.052997,3,0,80,13,41,36,2530,0,5,147.295
11281,376.0,1437,152,16,64,1371,2,0,8,134.30,1.834,1.699,0.957,0.477,0.089,-0.949,1.247,0.4453,2.2800,0.738,0.016,0.003,0.215,0.197,25,85,110,0,1,0,70089.69,833.973,47129.055,2540.403,36.102,2.459,27714.161,7384.703,9.811,17305.715,13844.573,2454.106,384.884,3632.361,0.000161,0.053128,29,0,102,8,41,40,2463,26,1,38.000
11311,377.0,1578,123,16,86,1490,2,0,12,140.03,1.830,1.692,0.967,0.485,0.097,-0.950,1.156,0.4750,2.2841,0.776,0.035,0.001,0.213,0.191,23,99,136,0,0,0,74944.51,982.292,50411.287,3592.568,136.492,2.683,30145.279,8194.576,13.310,21121.542,16897.234,3486.260,610.769,3456.827,0.000138,0.053307,12,0,126,10,43,41,2380,0,2,83.480
11341,378.0,1644,146,16,105,1535,4,0,13,125.45,1.826,1.684,0.959,0.495,0.105,-0.949,1.157,0.4769,2.2884,0.787,0.019,0.002,0.212,0.186,29,115,178,0,2,0,77440.88,1332.000,51769.655,4548.271,209.933,3.200,32251.738,8861.907,18.339,20346.489,16277.191,4474.081,532.918,4945.277,0.000119,0.053203,17,0,159,19,49,49,2455,0,0,0.000
11371,379.0,1687,144,16,120,1562,5,0,10,131.10,1.824,1.680,0.970,0.506,0.112,-0.949,1.154,0.4711,2.2941,0.735,0.017,0.004,0.212,0.180,35,134,215,0,4,0,82458.89,1552.857,57185.290,5777.275,217.897,3.828,33506.020,9209.627,16.284,22249.248,17799.399,5634.597,914.997,5766.031,0.000196,0.053206,28,0,181,34,46,43,2628,8,3,97.789
