tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
5071,169.0,3022,77,30,417,2605,0,0,1406,287.86,1.037,1.756,0.610,0.131,0.189,-0.959,1.557,0.4525,3.5802,0.724,0.007,0.024,0.218,-0.154,69,124,7,0,265,0,93014.45,5017.681,33747.331,0.016,2272.926,9.665,25596.856,14721.496,2284.483,10380.625,8304.500,846.033,336.238,128.998,0.000168,0.008793,436,0,7,0,7,7,2004,0,0,0.000
5101,170.0,2825,82,30,415,2410,0,0,1228,275.42,1.028,1.735,0.608,0.127,0.195,-0.960,1.556,0.4465,3.5783,0.758,0.002,0.027,0.216,-0.154,71,162,6,0,263,0,87280.40,5007.286,31843.537,0.049,2451.794,7.853,24046.722,13706.764,2054.048,9626.610,7701.288,522.075,215.048,114.944,0.000228,0.007752,487,0,6,0,6,6,2012,1,0,0.000
5131,171.0,2687,67,30,422,2265,0,0,1146,293.49,1.015,1.714,0.608,0.127,0.200,-0.961,1.556,0.4479,3.5906,0.743,0.005,0.026,0.213,-0.156,76,147,1,0,218,0,82138.31,4913.895,29450.665,0.012,2077.885,9.692,22470.797,12601.771,1864.346,9329.446,7463.557,439.850,175.566,88.437,0.000148,0.007377,404,0,1,0,1,1,1924,6,0,0.000
5161,172.0,2508,59,30,425,2083,0,0,999,305.64,1.003,1.699,0.607,0.124,0.207,-0.962,1.555,0.4461,3.5578,0.785,0.002,0.029,0.211,-0.157,80,145,6,0,205,0,75510.88,4846.861,25418.696,0.010,2000.793,9.154,20954.327,11760.370,1696.181,7342.143,5873.714,778.321,121.853,113.522,0.000222,0.008011,375,0,6,0,6,6,1785,1,0,0.000
5191,173.0,2332,71,30,424,1908,0,0,850,271.11,0.991,1.675,0.603,0.124,0.214,-0.963,1.552,0.4502,3.5932,0.774,0.000,0.028,0.209,-0.157,75,158,7,0,181,0,69873.77,4708.962,23336.928,7.935,1925.110,8.857,19375.794,10796.093,1442.844,6962.456,5569.965,424.804,168.909,89.995,0.000188,0.009643,368,0,4,3,7,4,1703,0,3,7.935
5221,174.0,2182,66,30,428,1754,0,0,757,284.70,0.973,1.649,0.605,0.125,0.222,-0.963,1.551,0.4499,3.5125,0.762,0.000,0.025,0.207,-0.160,76,138,6,0,165,0,65601.37,4486.240,22181.610,0.020,2159.365,8.119,17835.693,9922.706,1246.522,6430.453,5144.363,420.353,132.574,96.338,0.000116,0.009904,391,0,6,0,6,6,1439,2,0,0.000
5251,175.0,2103,45,30,436,1667,0,0,720,311.36,0.950,1.618,0.605,0.126,0.229,-0.963,1.551,0.4474,3.5523,0.793,0.005,0.028,0.203,-0.162,81,152,1,0,99,0,63176.93,4423.973,21774.510,0.008,1764.756,8.933,16581.621,9091.588,1150.590,6695.327,5356.262,230.525,153.750,75.791,0.000120,0.010942,335,0,1,0,1,1,1259,4,0,0.000
5281,176.0,1998,69,30,432,1566,0,0,629,308.24,0.931,1.598,0.603,0.127,0.233,-0.965,1.554,0.4446,3.5655,0.789,0.007,0.031,0.200,-0.165,58,137,2,0,118,0,59244.81,4344.350,18680.824,3.146,1598.003,7.913,15618.896,8554.894,1046.645,5988.731,4790.985,270.879,203.017,68.361,0.000133,0.011505,286,0,1,1,2,1,1120,6,1,3.139
5311,177.0,1896,55,30,434,1462,0,0,522,316.48,0.908,1.566,0.602,0.126,0.240,-0.966,1.555,0.4480,3.5510,0.784,0.005,0.027,0.197,-0.166,75,144,5,0,117,0,55914.14,4240.430,17745.400,0.004,1470.215,7.612,14490.510,7982.565,891.933,6386.473,5109.179,449.975,148.504,75.728,0.000114,0.011445,274,0,5,0,5,5,1155,1,0,0.000
5341,178.0,1835,60,30,448,1387,0,0,473,296.48,0.887,1.534,0.601,0.127,0.249,-0.967,1.559,0.4470,3.4730,0.765,0.007,0.025,0.194,-0.168,58,127,4,0,76,0,52606.95,4152.381,15714.584,0.000,1336.864,6.548,13523.908,7396.838,758.793,5510.599,4408.480,294.860,24.119,73.511,0.000151,0.011778,245,0,4,0,4,4,1224,7,0,0.000
