tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach
2821,94.0,6000,192,29,1998,4002,0,0,4267,314.37,0.912,1.074,0.684,0.130,0.260,-0.780,1.707,0.4260,2.2964,0.606,0.032,0.066,0.065,-0.105,83,19,427,0,257,0,199573.73,35813.798,60457.760,39.270,18170.438,17.099,42416.153,14435.203,7723.472,28545.432,22836.346,19040.064,1160.838,7684.549,0.000322,0.040559,0,16296,427,0,426,426,68674
2851,95.0,5998,184,29,2044,3954,0,0,4135,271.42,0.913,1.069,0.698,0.131,0.265,-0.783,1.703,0.4227,2.2885,0.603,0.021,0.037,0.066,-0.107,78,24,554,0,229,0,192076.45,35176.825,58501.938,38.889,17328.499,18.653,42632.076,14299.989,7585.023,32864.329,26291.464,21894.874,752.527,7477.578,0.000301,0.041739,0,15680,554,0,554,554,67043
2881,96.0,6000,155,29,2132,3868,0,0,4092,222.38,0.908,1.061,0.710,0.134,0.274,-0.785,1.698,0.4208,2.2544,0.603,0.013,0.018,0.066,-0.108,75,18,545,0,233,0,185889.03,35083.778,58746.973,37.141,16994.542,20.620,42875.768,14133.889,7420.046,32312.525,25850.020,21515.006,525.431,7122.663,0.000285,0.039614,0,15220,545,0,545,545,66294
2911,97.0,5972,174,29,2210,3762,0,0,4048,268.95,0.902,1.051,0.721,0.133,0.283,-0.786,1.693,0.4147,2.2713,0.561,0.008,0.008,0.066,-0.108,76,20,533,0,225,0,178313.58,34674.599,55025.772,32.486,16585.550,20.432,42780.086,13886.696,7328.901,29963.799,23971.040,20347.316,153.524,6819.030,0.000236,0.041042,0,14520,533,0,533,533,64719
2941,98.0,5803,203,29,2256,3547,0,0,3968,308.56,0.897,1.036,0.731,0.136,0.295,-0.788,1.690,0.4116,2.2255,0.574,0.007,0.007,0.066,-0.108,90,20,515,0,263,0,171477.08,34425.455,53730.315,33.094,16749.167,22.652,42187.337,13220.456,7189.372,25434.755,20347.804,20327.217,276.947,6737.086,0.000165,0.041703,0,14325,515,0,515,515,61415
2971,99.0,5687,184,29,2296,3391,0,0,3916,255.90,0.892,1.026,0.743,0.137,0.305,-0.789,1.690,0.4101,2.2127,0.555,0.007,0.008,0.067,-0.107,135,23,484,0,268,0,167206.98,34298.919,53677.020,38.117,16578.299,21.769,41177.985,12552.545,7057.759,26975.875,21580.701,19025.340,372.727,6702.615,0.000222,0.043346,0,13983,484,0,482,482,59166
3001,100.0,5516,178,29,2352,3164,0,0,3812,301.70,0.884,1.009,0.757,0.142,0.319,-0.788,1.684,0.4064,2.2011,0.569,0.006,0.009,0.067,-0.107,102,26,519,0,261,0,160042.00,33530.396,51162.214,33.733,16757.511,24.367,40426.983,12024.768,6871.539,26078.814,20863.052,19800.521,330.761,7220.999,0.000220,0.044699,0,13747,519,0,519,519,57427
3031,101.0,5360,196,29,2377,2983,0,0,3662,308.98,0.880,0.999,0.774,0.145,0.330,-0.788,1.679,0.4054,2.1947,0.568,0.008,0.007,0.067,-0.108,108,15,476,0,260,0,151675.17,33076.357,47001.262,33.383,17186.816,25.778,39314.989,11360.585,6681.743,24636.734,19709.387,19198.534,215.949,6778.676,0.000402,0.041301,0,13447,476,0,476,476,55169
3061,102.0,5125,196,29,2370,2755,0,0,3472,334.76,0.872,0.987,0.792,0.148,0.341,-0.788,1.682,0.3996,2.1961,0.567,0.006,0.005,0.068,-0.107,147,22,523,0,274,0,143084.14,32270.257,45939.591,34.445,17160.244,31.379,38050.533,10715.193,6384.180,24442.001,19553.601,19670.428,199.399,6927.188,0.000245,0.040182,0,13041,523,0,523,523,51777
3091,103.0,4926,183,29,2350,2576,0,0,3286,295.83,0.867,0.976,0.810,0.156,0.351,-0.790,1.683,0.4006,2.1955,0.563,0.007,0.007,0.068,-0.106,139,28,480,0,241,0,133496.33,31226.833,42873.056,33.600,17251.069,32.402,36793.462,10133.767,6062.626,23327.003,18661.603,19030.432,179.326,6856.294,0.000213,0.039768,0,12900,480,0,480,480,49694
