tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
1291,43.0,3768,329,26,342,3426,0,0,1767,254.09,1.226,0.840,0.137,0.058,0.111,-0.853,1.676,0.3940,1.6059,0.731,0.006,0.022,0.133,0.000,65,79,267,0,201,0,139697.50,6189.401,45015.570,40.344,3648.935,12.695,28388.224,11947.141,2973.967,15669.113,12535.291,10192.948,499.612,1523.973,0.000250,-0.008631,694,0,249,18,267,249,33959,30,18,32.849,0,0,0,0,0,0,0
1321,44.0,3567,310,26,331,3236,0,0,1670,246.28,1.230,0.840,0.141,0.058,0.112,-0.855,1.679,0.3874,1.5924,0.738,0.009,0.021,0.132,0.002,57,81,290,0,193,0,131809.58,5875.170,42885.835,69.241,3195.206,11.455,26835.653,11221.016,2813.643,16376.710,13101.369,10788.680,254.745,1529.085,0.000205,-0.008502,598,0,258,32,290,258,31212,32,32,61.870,0,0,0,0,0,0,0
1351,45.0,3463,319,24,340,3123,0,0,1589,244.08,1.228,0.838,0.146,0.057,0.116,-0.856,1.682,0.3805,1.5970,0.735,0.000,0.021,0.131,0.001,69,93,179,0,163,0,127227.12,5741.830,40137.936,42.984,2968.385,12.396,25908.179,10623.006,2684.812,14798.604,11838.883,6841.145,387.290,1101.053,0.000292,-0.004872,603,0,162,17,179,162,29610,33,17,38.323,0,0,0,0,0,0,0
1381,46.0,3324,303,24,334,2990,0,0,1548,291.07,1.227,0.838,0.148,0.057,0.117,-0.859,1.683,0.3853,1.5874,0.739,0.003,0.019,0.131,0.001,70,96,189,0,141,0,121932.70,5596.340,38386.302,46.854,3002.908,13.377,25194.042,10147.198,2574.268,13003.817,10403.054,7200.785,477.499,1129.366,0.000156,-0.005021,546,0,172,17,189,172,28532,32,17,41.989,0,0,0,0,0,0,0
1411,47.0,3203,347,24,326,2877,0,0,1483,295.14,1.228,0.844,0.148,0.057,0.119,-0.861,1.697,0.3827,1.5835,0.746,0.009,0.019,0.131,-0.001,69,68,173,0,167,0,114941.49,5177.499,35111.934,62.581,2653.518,12.961,24212.039,9674.840,2468.585,12907.652,10326.122,7003.940,394.531,1007.756,0.000258,-0.006700,507,0,149,24,173,149,26327,30,24,58.180,0,0,0,0,0,0,0
1441,48.0,3060,321,24,331,2729,0,0,1404,310.55,1.228,0.846,0.152,0.056,0.124,-0.862,1.710,0.3804,1.5915,0.762,0.006,0.019,0.130,-0.001,68,91,143,0,163,0,110181.83,5022.750,33813.574,26.360,2086.810,13.134,23310.980,9201.751,2367.822,11450.862,9160.690,5352.968,261.931,836.720,0.000226,-0.008421,461,0,128,15,143,128,25081,102,15,23.612,0,0,0,0,0,0,0
1471,49.0,2878,342,24,337,2541,0,0,1239,282.98,1.223,0.843,0.152,0.057,0.130,-0.864,1.713,0.3757,1.6045,0.728,0.006,0.022,0.130,-0.001,66,89,133,0,189,0,103749.48,4928.140,29623.862,23.435,2757.289,13.281,22126.223,8670.971,2156.484,10267.807,8214.246,4956.169,214.120,830.250,0.000286,-0.008386,510,0,122,11,133,122,22437,51,11,20.617,0,0,0,0,0,0,0
1501,50.0,2799,272,23,338,2461,0,0,1126,273.89,1.223,0.842,0.151,0.057,0.132,-0.865,1.723,0.3748,1.5947,0.769,0.009,0.020,0.130,-0.001,71,84,113,0,123,0,99367.46,4795.599,29571.994,21.263,2634.936,11.178,21263.714,8368.909,1920.636,10960.961,8768.769,4032.208,240.340,752.878,0.000165,-0.009649,519,0,103,10,113,103,20872,61,10,18.202,0,0,0,0,0,0,0
1531,51.0,2687,269,23,337,2350,0,0,1054,304.15,1.218,0.843,0.150,0.056,0.136,-0.868,1.734,0.3763,1.6111,0.731,0.009,0.020,0.130,-0.000,77,98,99,0,106,0,92872.30,4447.900,25468.841,31.296,2248.876,12.952,20454.687,7947.099,1790.841,8583.309,6866.647,3673.949,178.185,681.783,0.000151,-0.009076,399,0,84,15,99,84,19283,3,15,28.344,0,0,0,0,0,0,0
1561,52.0,2543,262,23,337,2206,0,0,950,363.41,1.216,0.844,0.149,0.058,0.141,-0.870,1.741,0.3838,1.6188,0.753,0.009,0.020,0.130,-0.001,62,97,67,0,134,0,86813.53,4311.427,22529.845,12.946,2296.071,10.382,19344.052,7298.913,1621.920,7025.665,5620.532,2411.019,300.623,531.319,0.000151,-0.008958,409,0,61,6,67,61,17405,0,6,10.964,0,0,0,0,0,0,0
