tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
1921,64.0,1035,724,21,316,700,17,2,4,178.64,1.008,1.041,0.949,0.081,0.316,-0.800,2.268,0.5659,1.6807,0.637,0.041,0.010,0.145,-0.014,56,65,73,0,1,0,38112.20,3874.198,14034.449,885.620,406.731,9.631,8815.725,2806.588,6.124,7962.102,6369.682,1635.452,152.167,896.555,0.000131,0.017793,56,0,44,29,15,7,8901,1,29,18.385,570,165,147,37,0,108,0
1951,65.0,1095,783,22,338,738,18,1,7,177.54,1.001,1.044,0.942,0.084,0.318,-0.804,2.264,0.5786,1.6927,0.645,0.044,0.011,0.144,-0.018,78,63,70,0,0,0,40755.44,4301.757,14052.589,932.078,589.073,8.798,9160.620,2981.027,7.835,7698.367,6158.694,2055.587,195.199,703.242,0.000149,0.018244,75,0,33,37,19,1,8870,0,37,54.427,515,130,121,32,0,88,0
1981,66.0,1221,778,22,386,812,23,0,4,159.52,0.987,1.051,0.936,0.083,0.323,-0.810,2.250,0.5761,1.7111,0.637,0.036,0.016,0.145,-0.016,79,58,86,0,0,0,44215.80,4736.323,16251.189,1024.252,697.118,6.735,9859.582,3162.905,10.125,10491.767,8393.414,2309.686,120.735,990.009,0.000145,0.017999,94,0,45,41,28,8,10061,0,41,81.261,591,157,143,37,0,105,0
2011,67.0,1303,782,22,394,881,28,0,3,160.95,0.992,1.068,0.937,0.087,0.312,-0.813,2.251,0.5625,1.7770,0.654,0.033,0.014,0.146,-0.012,76,64,113,0,1,0,47894.12,5441.335,17688.325,1198.887,549.609,6.696,10665.360,3507.430,4.527,10431.569,8345.255,3027.659,228.641,1130.305,0.000134,0.016788,71,0,50,63,30,8,11503,0,63,65.054,730,179,154,42,0,112,0
2041,68.0,1463,710,22,459,973,31,0,3,154.79,0.975,1.072,0.941,0.088,0.318,-0.816,2.254,0.5471,1.7982,0.627,0.044,0.019,0.147,-0.010,76,66,115,0,1,0,52630.95,6200.969,20254.236,1030.687,667.032,7.768,11647.143,3941.973,4.904,13088.393,10470.715,2798.159,176.610,1562.586,0.000131,0.016146,91,0,56,59,29,16,12246,0,59,48.219,856,213,173,40,0,133,0
2071,69.0,1543,769,22,517,985,41,0,3,145.01,0.958,1.057,0.921,0.091,0.331,-0.800,2.253,0.5390,1.7813,0.595,0.048,0.017,0.147,-0.013,73,101,139,0,0,0,56716.10,7058.249,20042.064,2222.174,799.563,9.555,12459.071,4257.293,5.056,12516.698,10013.359,3831.144,415.601,1765.832,0.000246,0.017379,107,0,84,55,33,12,12763,0,55,70.338,1008,286,258,72,0,183,0
2101,70.0,1671,764,22,578,1041,52,0,4,148.82,0.948,1.061,0.910,0.096,0.337,-0.787,2.263,0.5354,1.8429,0.579,0.054,0.018,0.145,-0.013,83,70,179,0,1,0,61753.35,8153.395,22326.394,2684.701,1403.743,7.921,13152.805,4734.062,4.329,14499.046,11599.237,4776.956,526.265,2033.020,0.000148,0.017676,191,0,97,82,28,7,12547,1,82,59.610,1326,508,459,90,0,366,0
2131,71.0,1795,759,22,594,1145,55,1,3,126.07,0.959,1.077,0.926,0.099,0.327,-0.793,2.271,0.5338,1.8730,0.560,0.044,0.017,0.144,-0.014,83,77,241,0,0,0,67029.23,9179.076,26279.512,3072.501,1748.685,8.958,14219.199,5534.769,4.475,17495.594,13996.476,6520.776,789.686,2687.185,0.000198,0.016836,224,0,122,119,66,17,13007,0,119,137.808,1569,770,718,105,0,608,0
2161,72.0,1880,722,22,585,1232,61,2,3,110.86,0.980,1.095,0.952,0.104,0.312,-0.791,2.280,0.5296,1.8804,0.564,0.039,0.015,0.144,-0.008,62,65,348,0,0,0,70576.03,9546.198,28607.589,4372.507,2125.511,9.203,15302.089,5802.743,5.197,19638.848,15711.079,9466.572,711.163,3763.953,0.000132,0.016726,297,0,177,171,77,20,13161,0,171,172.409,1558,667,578,157,0,415,0
2191,73.0,1919,762,22,584,1236,96,3,3,129.78,1.006,1.099,0.955,0.112,0.303,-0.751,2.296,0.5463,1.8265,0.552,0.041,0.015,0.144,-0.001,77,69,400,0,1,0,72703.01,9925.185,28246.851,6686.073,2316.425,7.436,16241.095,6721.155,4.803,20749.920,16599.936,10833.485,611.647,4168.969,0.000151,0.016501,306,0,252,148,73,13,14222,0,148,179.288,2268,1304,1247,239,0,998,0
