tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
12031,401.0,2000,3236,24,1932,2,66,567,2222.25,0.610,0.397,0.128,0.060,0.633,0.147,0.045,167,0,12,4,4,0
12061,402.0,2000,3111,24,1933,2,65,583,2208.00,0.610,0.396,0.127,0.060,0.633,0.147,0.044,172,0,12,1,4,0
12091,403.0,2000,3027,24,1935,2,63,571,2193.84,0.611,0.395,0.127,0.059,0.634,0.147,0.044,166,0,18,4,11,0
12121,404.0,2000,2885,24,1935,2,63,573,2194.02,0.611,0.395,0.127,0.058,0.634,0.147,0.044,177,0,14,3,5,0
12151,405.0,2000,2802,24,1935,2,63,597,2119.07,0.611,0.396,0.126,0.059,0.634,0.147,0.043,182,0,11,3,14,0
12181,406.0,2000,2621,24,1936,2,62,577,2155.39,0.611,0.395,0.125,0.059,0.634,0.147,0.043,150,0,12,3,8,0
12211,407.0,2000,2479,24,1935,2,63,578,2163.67,0.611,0.396,0.125,0.059,0.633,0.147,0.043,175,0,5,2,6,0
12241,408.0,2000,2308,24,1935,2,63,590,2133.61,0.611,0.396,0.125,0.059,0.633,0.147,0.043,169,0,5,5,5,0
12271,409.0,2000,2149,24,1935,2,63,591,2082.24,0.612,0.396,0.127,0.059,0.633,0.147,0.044,184,0,14,4,8,0
12301,410.0,2000,1964,23,1935,2,63,613,2039.15,0.611,0.396,0.127,0.059,0.633,0.147,0.044,174,0,12,1,4,0
12331,411.0,2000,1852,23,1936,2,62,622,2139.24,0.611,0.395,0.128,0.058,0.634,0.147,0.044,169,0,9,6,8,0
12361,412.0,2000,1645,23,1936,2,62,601,2258.26,0.612,0.395,0.126,0.058,0.634,0.147,0.044,174,0,13,7,6,0
12391,413.0,2000,1518,23,1939,2,59,595,2298.49,0.611,0.395,0.127,0.057,0.635,0.148,0.043,154,0,15,8,9,0
12421,414.0,2000,1420,23,1936,4,60,594,2338.80,0.611,0.397,0.126,0.058,0.634,0.148,0.044,157,0,12,3,11,0
12451,415.0,2000,1340,23,1937,4,59,584,2392.26,0.611,0.397,0.126,0.057,0.634,0.148,0.043,164,0,11,6,7,0
12481,416.0,2000,1164,23,1937,4,59,563,2469.42,0.611,0.398,0.126,0.057,0.635,0.148,0.043,169,0,8,6,4,0
12511,417.0,2000,1114,23,1936,4,60,561,2458.30,0.611,0.399,0.125,0.057,0.634,0.148,0.044,190,0,14,2,7,0
12541,418.0,2000,1027,23,1933,4,63,545,2445.09,0.611,0.401,0.123,0.059,0.633,0.147,0.044,147,0,18,4,9,0
12571,419.0,2000,913,23,1934,4,62,545,2418.64,0.610,0.400,0.122,0.058,0.634,0.148,0.044,177,0,13,7,8,0
12601,420.0,2000,840,23,1934,4,62,558,2375.16,0.610,0.400,0.121,0.059,0.634,0.148,0.044,162,0,18,5,10,0
12631,421.0,2000,846,23,1935,4,61,556,2411.43,0.610,0.400,0.121,0.058,0.634,0.148,0.043,157,1,8,9,1,0
12661,422.0,2000,855,23,1937,4,59,560,2372.70,0.610,0.399,0.121,0.058,0.635,0.148,0.043,164,0,10,1,5,0
12691,423.0,2000,826,23,1937,3,60,553,2347.25,0.609,0.399,0.120,0.058,0.635,0.148,0.043,155,0,11,8,4,0
12721,424.0,2000,844,23,1939,3,58,529,2203.98,0.609,0.398,0.120,0.057,0.635,0.148,0.043,166,0,10,1,11,0
12751,425.0,2000,875,23,1939,3,58,525,2183.97,0.609,0.398,0.119,0.057,0.635,0.148,0.043,189,0,5,3,4,0
12781,426.0,2000,913,23,1940,3,57,537,2225.00,0.608,0.399,0.118,0.057,0.636,0.147,0.043,165,0,17,3,6,0
12811,427.0,2000,1020,23,1941,3,56,530,2300.18,0.607,0.398,0.116,0.057,0.636,0.147,0.044,183,0,8,5,10,0
12841,428.0,2000,1113,23,1941,3,56,520,2180.39,0.607,0.398,0.115,0.057,0.636,0.147,0.044,155,0,13,3,7,0
12871,429.0,2000,1240,23,1941,3,56,512,2312.54,0.607,0.398,0.115,0.057,0.636,0.147,0.044,172,0,9,6,5,0
12901,430.0,2000,1323,23,1941,3,56,522,2216.76,0.607,0.398,0.114,0.057,0.636,0.148,0.044,184,0,15,4,8,0
12931,431.0,2000,1445,23,1943,3,54,519,2344.29,0.606,0.397,0.113,0.056,0.636,0.148,0.043,163,1,12,4,4,0
12961,432.0,2000,1599,23,1944,3,53,516,2389.39,0.606,0.397,0.113,0.056,0.637,0.147,0.044,178,0,11,6,9,0
12991,433.0,2000,1758,23,1944,3,53,489,2444.50,0.606,0.397,0.113,0.056,0.637,0.147,0.044,191,0,12,4,6,0
13021,434.0,2000,1932,23,1945,3,52,473,2436.00,0.605,0.397,0.111,0.057,0.637,0.148,0.043,151,0,13,4,10,0
13051,435.0,2000,2051,22,1946,3,51,472,2338.46,0.605,0.397,0.111,0.058,0.637,0.148,0.043,174,0,20,1,4,0
13081,436.0,2000,2179,22,1946,3,51,483,2334.54,0.605,0.397,0.111,0.058,0.637,0.148,0.043,184,0,17,2,1,0
13111,437.0,2000,2344,22,1946,3,51,475,2403.97,0.605,0.396,0.111,0.058,0.637,0.148,0.043,163,1,21,7,7,0
13141,438.0,2000,2557,22,1946,3,51,472,2405.97,0.605,0.396,0.110,0.059,0.638,0.148,0.043,180,0,13,4,9,0
13171,439.0,2000,2662,22,1946,3,51,465,2411.49,0.605,0.396,0.108,0.059,0.638,0.148,0.043,169,0,17,4,5,0
13201,440.0,2000,2818,22,1947,3,50,463,2383.39,0.604,0.395,0.108,0.058,0.638,0.148,0.043,191,0,19,4,1,0
13231,441.0,2000,2895,22,1948,3,49,442,2482.53,0.605,0.394,0.108,0.058,0.638,0.148,0.042,165,0,24,6,8,0
13261,442.0,2000,2997,22,1948,3,49,441,2505.72,0.604,0.393,0.108,0.058,0.638,0.148,0.042,169,0,9,2,7,0
13291,443.0,2000,3160,22,1948,3,49,422,2556.17,0.604,0.393,0.108,0.058,0.638,0.148,0.043,170,0,20,5,5,0
13321,444.0,2000,3272,22,1948,3,49,424,2683.22,0.604,0.393,0.107,0.058,0.639,0.148,0.042,162,0,9,8,3,0
13351,445.0,2000,3376,22,1950,2,48,429,2549.22,0.604,0.392,0.106,0.057,0.639,0.148,0.042,162,0,19,2,2,0
13381,446.0,2000,3452,22,1951,2,47,415,2597.48,0.604,0.392,0.106,0.057,0.639,0.148,0.042,174,0,13,6,4,0
13411,447.0,2000,3545,22,1951,2,47,413,2555.38,0.605,0.391,0.106,0.057,0.639,0.148,0.042,162,0,20,4,2,0
13441,448.0,2000,3673,22,1951,2,47,399,2542.67,0.606,0.392,0.106,0.058,0.639,0.148,0.041,162,0,14,2,7,0
13471,449.0,2000,3650,22,1951,2,47,391,2436.70,0.605,0.392,0.105,0.058,0.639,0.148,0.041,195,0,27,7,4,0
13501,450.0,2000,3674,22,1951,2,47,390,2393.17,0.606,0.392,0.105,0.058,0.639,0.148,0.042,201,0,22,7,2,0
13531,451.0,2000,3762,22,1953,2,45,375,2385.90,0.605,0.391,0.104,0.058,0.640,0.147,0.042,194,0,23,6,5,0
13561,452.0,2000,3796,22,1953,2,45,387,2276.67,0.606,0.391,0.104,0.059,0.640,0.147,0.042,166,0,21,5,5,0
13591,453.0,2000,3822,22,1953,2,45,393,2149.65,0.605,0.391,0.104,0.059,0.640,0.148,0.042,183,0,26,4,6,0
13621,454.0,2000,3790,22,1953,2,45,395,1988.95,0.606,0.390,0.102,0.059,0.640,0.147,0.041,191,0,26,2,5,0
13651,455.0,2000,3809,22,1953,2,45,396,2082.35,0.606,0.390,0.104,0.059,0.640,0.148,0.041,179,0,21,4,4,0
13681,456.0,2000,3758,22,1953,2,45,394,2051.20,0.606,0.390,0.103,0.058,0.640,0.147,0.041,168,0,29,6,5,0
