tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
5191,173.0,2000,793,29,1184,808,8,434,1171.34,0.703,0.688,0.536,0.055,0.434,0.152,0.018,64,2,17,1,4,0
5221,174.0,2000,708,29,1187,805,8,433,1192.29,0.702,0.689,0.537,0.055,0.435,0.153,0.018,69,4,26,1,7,0
5251,175.0,2000,672,29,1194,798,8,431,1243.22,0.700,0.687,0.536,0.055,0.438,0.153,0.019,64,5,14,2,10,0
5281,176.0,2000,610,29,1195,797,8,410,1222.96,0.700,0.687,0.540,0.055,0.438,0.154,0.019,67,4,31,2,8,0
5311,177.0,2000,556,29,1196,796,8,410,1288.88,0.699,0.687,0.547,0.055,0.439,0.154,0.020,70,3,28,3,6,0
5341,178.0,2000,550,29,1211,781,8,412,1415.42,0.694,0.682,0.552,0.055,0.445,0.156,0.020,65,7,34,0,10,0
5371,179.0,2000,550,29,1214,779,7,409,1455.47,0.692,0.682,0.556,0.054,0.446,0.156,0.021,68,3,29,3,5,0
5401,180.0,2000,512,25,1227,767,6,393,1542.96,0.688,0.677,0.559,0.054,0.451,0.157,0.021,49,11,25,5,7,0
5431,181.0,2000,498,25,1235,759,6,396,1582.89,0.685,0.673,0.561,0.053,0.454,0.158,0.022,70,12,25,2,7,0
5461,182.0,2000,517,25,1251,743,6,364,1529.31,0.681,0.669,0.566,0.053,0.459,0.159,0.023,63,13,26,7,13,0
5491,183.0,2000,546,25,1265,729,6,364,1498.67,0.676,0.665,0.564,0.053,0.464,0.160,0.023,65,11,28,2,7,0
5521,184.0,2000,614,25,1276,718,6,353,1470.84,0.672,0.660,0.571,0.053,0.468,0.161,0.025,70,8,22,3,5,0
5551,185.0,2000,629,29,1297,697,6,364,1415.17,0.666,0.655,0.581,0.054,0.476,0.162,0.026,70,11,29,4,9,0
5581,186.0,2000,664,29,1304,690,6,354,1440.76,0.663,0.652,0.585,0.054,0.478,0.163,0.027,65,7,35,2,6,0
5611,187.0,2000,788,29,1311,683,6,353,1475.90,0.659,0.651,0.593,0.054,0.480,0.162,0.028,74,8,30,3,7,0
5641,188.0,2000,874,29,1312,682,6,333,1447.31,0.659,0.650,0.596,0.055,0.481,0.162,0.027,68,3,13,2,8,0
